Zeilennummer;String;Englische Übersetzung
31343;"f""Figur läuft zu Quader {target[0] + 1}/{target[1] + 1}.""";
31430;"f""Spieler auf Quader Zeile {row + 1}, Spalte {col + 1}.""";
31445;Dieses Haus ist vollständig fertiggestellt.;
31451;"f""Aufgabe gelöst. Baustufe {stage + 1} ist freigeschaltet.""";
31460;"f""Löse die Aufgabe für {reward} Budget-Punkte:\n{task['question']}""";
31460;question;
31476;"f""Aktuelle Baustufe: {stage}/3.\n""\n                        f""Nächster Bau: {next_name}, Kosten {cost} Punkte — {permission_text}.""";
31479;"f""{next_name} bauen ({cost})""";
31485;Haus fertig: Grundmauern, Etage und Dach sind vorhanden.;
31491;Gehe zu einem Grundstück mit ?-Markierung.;
31495;Kein Grundstück ausgewählt.;
31503;Besuche ein BANK-Gebäude, um Budget anzulegen oder Zinsen zu prüfen.;
31505;Keine Bank am aktuellen Quader.;
31523;Bitte eine ganze Zahl als Lösung eingeben.;
31527;Die Lösung stimmt noch nicht. Versuche es erneut.;
31537;"f""Richtig! +{reward} Budget-Punkte. Die nächste Baustufe ist freigeschaltet.""";
31552;"f""Für {self.HOUSE_STAGE_NAMES[stage]} fehlen Budget-Punkte.""";
31562;"f""{self.HOUSE_STAGE_NAMES[stage]} gebaut. −{cost} Budget-Punkte.""";
31578;Haus zurückbauen;
31579;"f""Das Gebäude wird vollständig abgebaut.\n""\n                f""80 % der eingesetzten {spent} Punkte = {refund} Punkte werden zurückgegeben.\n\n""\n                ""Fortfahren?""";
31595;"f""Gebäude zurückgebaut. +{refund} Budget-Punkte zurückerhalten.""";
31615;"f""Einlage: {self.bank_deposit} Punkte. Zinssatz: ""\n                f""{self.BANK_RATE_PERCENT} % je gelöster Bauaufgabe.""";
31620;Noch keine offenen Zinsen. Löse weitere Aufgaben oder lege Budget an.;
31633;"f""Seit der letzten Prüfung: {self.bank_rounds} Zinsrunde(n).\n""\n                f""Die Bank meldet {self._bank_reported_interest} Zins-Punkte.\n""\n                ""Berechne selbst die insgesamt korrekten Zinsen und trage sie ein.""";
31646;Für diese Einzahlung reicht das freie Budget nicht.;
31652;"f""{amount} Budget-Punkte bei der Anlage-Bank eingezahlt.""";
31664;Diese Summe ist nicht als Einlage verfügbar.;
31670;"f""{amount} Punkte aus der Bankeinlage zurück in das Bau-Budget geholt.""";
31682;Bitte die berechneten Zinsen als ganze Zahl eingeben.;
