Marker / msgid;Default msgstr / Beschreibung
mo:DesktopPropertiesDialog.btn_external_editor;...
mo:DesktopPropertiesDialog.btn_files_current_dir;...
mo:DesktopPropertiesDialog.btn_files_search_path;...
mo:DesktopPropertiesDialog.btn_help;btn help
mo:DesktopPropertiesDialog.btn_logfile;...
mo:DesktopPropertiesDialog.btn_ok;btn ok
mo:DesktopPropertiesDialog.btn_prog_error_log;...
mo:DesktopPropertiesDialog.btn_prog_html_template;...
mo:DesktopPropertiesDialog.btn_test_beep;btn test beep
mo:DesktopPropertiesDialog.cb_currency;cb currency
mo:DesktopPropertiesDialog.cb_datefmt;cb datefmt
mo:DesktopPropertiesDialog.cb_lang;cb lang
mo:DesktopPropertiesDialog.cb_prog_error_action;cb prog error action
mo:DesktopPropertiesDialog.chk_app_anim;chk app anim
mo:DesktopPropertiesDialog.chk_app_datamodule;chk app datamodule
mo:DesktopPropertiesDialog.chk_app_fit;chk app fit
mo:DesktopPropertiesDialog.chk_app_form;chk app form
mo:DesktopPropertiesDialog.chk_app_labels;chk app labels
mo:DesktopPropertiesDialog.chk_app_ole;chk app ole
mo:DesktopPropertiesDialog.chk_app_report;chk app report
mo:DesktopPropertiesDialog.chk_app_save_logins;chk app save logins
mo:DesktopPropertiesDialog.chk_app_splash;chk app splash
mo:DesktopPropertiesDialog.chk_app_sql_trace;chk app sql trace
mo:DesktopPropertiesDialog.chk_app_table;chk app table
mo:DesktopPropertiesDialog.chk_approx;chk approx
mo:DesktopPropertiesDialog.chk_autonull;chk autonull
mo:DesktopPropertiesDialog.chk_autosave;chk autosave
mo:DesktopPropertiesDialog.chk_backup;chk backup
mo:DesktopPropertiesDialog.chk_beep;chk beep
mo:DesktopPropertiesDialog.chk_century;chk century
mo:DesktopPropertiesDialog.chk_confirm;chk confirm
mo:DesktopPropertiesDialog.chk_cua;chk cua
mo:DesktopPropertiesDialog.chk_currency_format;lang
mo:DesktopPropertiesDialog.chk_deleted;chk deleted
mo:DesktopPropertiesDialog.chk_enable_log;chk enable log
mo:DesktopPropertiesDialog.chk_encrypt;chk encrypt
mo:DesktopPropertiesDialog.chk_esc;chk esc
mo:DesktopPropertiesDialog.chk_exclusive;chk exclusive
mo:DesktopPropertiesDialog.chk_ident;chk ident
mo:DesktopPropertiesDialog.chk_lock;chk lock
mo:DesktopPropertiesDialog.chk_mismatch;chk mismatch
mo:DesktopPropertiesDialog.chk_prog_blank;chk prog blank
mo:DesktopPropertiesDialog.chk_prog_buildtime;chk prog buildtime
mo:DesktopPropertiesDialog.chk_prog_design;chk prog design
mo:DesktopPropertiesDialog.chk_prog_fieldnames;chk prog fieldnames
mo:DesktopPropertiesDialog.chk_prog_fullpath;chk prog fullpath
mo:DesktopPropertiesDialog.chk_prog_fulltest;chk prog fulltest
mo:DesktopPropertiesDialog.chk_prog_high_precision;chk prog high precision
mo:DesktopPropertiesDialog.chk_prog_protect;chk prog protect
mo:DesktopPropertiesDialog.chk_prog_trace;chk prog trace
mo:DesktopPropertiesDialog.chk_sessions;chk sessions
mo:DesktopPropertiesDialog.chk_system_show;chk system show
mo:DesktopPropertiesDialog.ed_datesep;.
mo:DesktopPropertiesDialog.ed_decimal;,
mo:DesktopPropertiesDialog.ed_external_editor;ed external editor
mo:DesktopPropertiesDialog.ed_files_current_dir;ed files current dir
mo:DesktopPropertiesDialog.ed_files_search_path;ed files search path
mo:DesktopPropertiesDialog.ed_logfile;ed logfile
mo:DesktopPropertiesDialog.ed_prog_error_log;PLUSerr.log
mo:DesktopPropertiesDialog.ed_prog_html_template;error.htm
mo:DesktopPropertiesDialog.ed_thousand;.
mo:DesktopPropertiesDialog.lbl_currency_pattern;129,99 EUR
mo:DesktopPropertiesDialog.lbl_date_pattern;12.04.2026
mo:DesktopPropertiesDialog.lbl_num_pattern;1.000.000,00
mo:DesktopPropertiesDialog.rb_dbase;dBASE
mo:DesktopPropertiesDialog.rb_left;rb left
mo:DesktopPropertiesDialog.rb_log_append;rb log append
mo:DesktopPropertiesDialog.rb_log_overwrite;rb log overwrite
mo:DesktopPropertiesDialog.rb_mysql;MySQL
mo:DesktopPropertiesDialog.rb_paradox;Paradox
